講演 ID	開始位置	連番	音声のタイプ	コア	前文脈	キ	後文脈	語彙素読み	語彙素	語彙素細分類	語形	品詞	活用型	活用形	書字形	発音形出現形	発音	語種	講演者 ID	性別	収録時の年齢	生年代	反転前文脈
A01M0077	9620	5860	独話・学会	非コア・人手修正	寺やと思いますけれども#うそこへですねあのすえ行きたいというので平田まで行ったあのえよその方がですけんあの観光客の方がですねえ鰐淵寺行くにはどう行ったらいいだろうかと言ってその年配の方に聞かれたらですねえうじゃうじゃうじゃうじゃじゃっとこう言われて引き返されたと行くの断念されたという話があるんすね#えそれぐらい分からない#えですからあの出雲は出雲弁でですねま名があの知れてもいる訳なんですけれども#あ私共のあのおおまあ考古学やってる者あるいは古代史やってる者にとってはですねえ出雲と言えばあ出雲の国の風土記というですねえ古代にい編集されたあ本がございまして#えそれはあのい大変あのお古代史のお研究の上では有名なあものなんですね#えどういう点が有名かと言いますと#えこれはあのわおあ西暦七百三十三年奈良時代ですね#え和銅お六年にいい出来上がった本ですね#で七百十三年にあの全国のですねあの色んなそのお言い伝えやあ産物を書いて出すようにという命令がですね政府から全国にい伝えられる訳ですけれども#それを受けてですね全国でまそういうそのお	歴史	書と言いますか#あるいは地理書と言いますか#だからそういうものの編集があ行なわれた訳ですね#でそれでそれあのお政府に差し出されている訳ですけれども#残念ながらお残ってるのが非常に少ないんですね#えとりわけそのおおこの出雲風土記はですねえこのその残ってるものの中でも唯一その完全な形でですねつまりえ書き始めから書き終わりまでえちゃんとあの残ってる#勿論あのこれはあのお室町時代ぐらいにこうぬしこの色々こううひう古い本を写していくですねその写本ていうのがまあ残ってる訳ですけども#おあっあいさい書き始めから書き終わりまでが完全に残ってるのはこの出雲風土記だけです#他にもですねえ常陸風土記であたあるとかあるいはああう豊後ですとかねえまそういった幾つかは残ってますけど#みんなあのお部分しか残ってないんすね#で完全にそのお最初から最後までの記お記述が分かるっていうのはこの出雲風土記だけなんです#でそのお出雲風土記に書かれてる色んなことがですねえ地名とかですね何かで現在この出雲の地でそれを確認できるっていうですねまそういう点でも非常にあのじお注目すべきい書物だということであのま早くからですね	レキシ	歴史		レキシ	名詞-普通名詞-一般			歴史	レキシ	レキシ	漢	61	男	60-64歳	1935-39年	おのそういうそまで国全ねすでてけ受をれそもどれけすで訳るれらえ伝い
A01M0077	120400	74660	独話・学会	非コア・人手修正	いうことです#ですからあの三百五十八本もですねあるいは三十九個もそういう青銅器がたくさんんあ使われてるっていうことはえ一つはそのそういうその青銅器を使ってお祭りをすることが非常に盛んだっていうことのおまあ証明になる#同時にまとめて埋められてるっていうのはどう理解するかっていうことなんですね#でこれをま色んな形で考えられる訳なんですけれども#お少なくともその銅の剣については出雲で作ってるし#でそれからあ銅のおせう銅鐸のう幾つかも出雲で作ってる#えつまり出雲はそういうもん作ってえ色んな村にこう与えてるっていうですね#でそういう中心の役割を果たしてる九州や近畿地方の色んな影響受けながら祭りのやり方の影響を受けながらですねそれを出雲で受け止めてえ何て言いますか#多少こう改良の手を加えながらあのちす周辺の地域にですねこれをこう渡してるっていうまそういうことをですねあの想定したい訳ですね#ですからあの紀元前のこの銅お青銅器がですねたくさん一世紀の一世紀でですね青銅器がさくらんすつう使われてるっていうことはそういうお祭りをやりながら色んなその村々がですねま自己主張するう時代ですよね#でそれを中国の	歴史	書はですね前漢のお時代に作られた漢書っていう本があるんですが#分かれて百余国となるって言っているのはそういう状態を指してんじゃないだろうかと思うんです#漢の武帝がですね朝鮮に楽浪郡ていうの作りますね#これはあのうえ紀元前ねはえ百八年ですけど#えそれを境にしてですねもう九州に漢のう中国の漢王朝の影響がどんどん入ってくるようになる訳ですけど#えまさにその時代がですねこのお銅鐸の祭りや銅矛や銅剣の祭りをしてる時代にい当たるということですね#だからはっく分かれて百余国わいわいわいわいわいわいこう言ってるんす#でそれが一括まとめて埋められたのはなぜかっていうことなんですけども#ちょっとそこはですねなかなか分からないんですが#今その田和山遺跡の調査で分かってきたことはですねおわいわい言ってるのはですねお仲間として手を握ると同時にん喧嘩もやってる訳ですよ#激しくということです#だからその大事なですね村の祭りの道具守る為に三重の堀を巡らしてですね防御してるんじゃないかということをま考えてる#でえそれは紀元う前の一世紀ぎの終わりから紀元一世紀の初め頃ですよね#あの岡山	レキシ	歴史		レキシ	名詞-普通名詞-一般			歴史	レキシ	レキシ	漢	61	男	60-64歳	1935-39年	の国中をれそでねよすで代時うるす張主己自まねすでが々村のそなん色
A02F0148	34780	22130	独話・学会	非コア・人手修正	言う#えこれは婉曲な言い方としています#で四つ目がぎこちない漢語を避けることです#え以上を総合して女房詞の特徴は女らしさをよく発揮して甚だ優美なものであると言うのですけれども#えここでの特徴とはえごじ語彙への価値付けえ評価ではないでしょうか#え例えば三の略語ごんがなぜ優美に繋がるのかの根拠はえ書かれていません#えまた菊沢は千九百三十三年に国語位相論で盗賊語について書いていますが#えその中の略語についてえ例えば車の略語くるは卑屈だとしています#え菊沢はこの論文で次に平安時代の言葉と武家時代の言葉を比較してえ婦人の地位が高かった平安時代の言葉もやはり優美であるとしえ最後に社会的地位の高低にかかわらず婦人の言葉の特徴は優美即ち優しくて麗しいという点に帰すると結論付けています#え菊沢はこの後の論文や著書でも婦人語としての女房詞について述べていますが#え次の点が付け加えられています#え一つ目は女房詞の起源は内裏仙洞にある#え二番目はえ女房詞は宮廷から将軍家の女房大名の奥方一般良家の家庭にと拡大してえ現代に及ぶと	歴史	的連続性があると言っています#えっと三つ目は遊女語と比較し遊女語は下卑た美しさだが#え女房詞は婦人が理想とするところの優美だとしました#え四つ目はえ女房詞は女房自らが女らしさを保っていこうとした為に作ったとしました#え以上の考察は次から見ていくように女性の言葉とは何かを述べる際にえ研究者によって繰り返し引用されることになります#女房詞については例えば岩淵悦太郎がえ醒睡笑えこれは千えがえっと千六百二十三年頃のえ安楽庵策伝のものですが#そこにえ男性が女房詞を使用している例があることをえと論文で紹介しています#え菊沢の研究が引用されたのはえ婦人語を宮廷に起源がある女房詞と結び付けえ婦人語がその上品で優美な女房詞の末裔であるとえアイデンティティを与えたからだと思います#え女房詞の特徴即ち婦人語の特徴が女子教育の理念と矛盾しなかったこともえ大きいでしょう#え二．二え女らしい言葉とその伝統の啓蒙に移ります#え昭和十四年にえラジオ放送が始まりえあっ間違いま大正十四年にラジオ放送が始まりえと国語意識を向上させることを目的にえ言葉に	レキシ	歴史		レキシ	名詞-普通名詞-一般			歴史	レキシ	レキシ	漢	125	女	45-49歳	1950-54年	とぶ及に代現えてし大拡とに庭家の家良般一方奥の名大房女の家
A05M0011	1250	770	独話・学会	非コア・人手修正	え×××と申します#ん大変あの会長先生からん過分なお言葉を頂戴いたしまして#本当にあの身が縮む思いがいたします#て私はもうこういうあ話はあま慣れておりませんで非常に無調法なことになると思いますし内容から行きましてどうもただあの今までの例会のお	歴史	をなぞるというようなそういうあまり面白くもないことになりますがま主にあの若い方の為にあの申し上げようと思うんです#う年配の先生方はもう御存じのことであの御退屈になると思いますが#まそれはちょっとおお聞き逃しをいただきたいと思います#えそれからま話が長くなるといけませんから二十五分まえ十三時二十五分までえぼんやりしていましたらどうか御注意くださいますように#あのんどんどん音声でお知らせくださればんえき結構でございます#んんえっとこのん今回があ第三百回といううんことでありまして#ま三百と言うと何かん何となくおめでたいとかそういう感じがする#どういう訳なんですかね#あのゼロゼロと付いたりなんかするとあの何か意味があるように思うというのもこれは論理的にどうなんですかちっとも分かりませんけども#う覚え易いということはございますね#え何か西暦二千年とか何とかいうのどういう意味があるのか私ちっとも分からないんですけども#まその十進法と言いますかあ指が十本あるとん何かそそれに関係してあのお嬉しくなるのか何かそれは分からないんですが#んさてそれで私はまあのわりあい古い会員ではござい	レキシ	歴史		レキシ	名詞-普通名詞-一般			歴史	レキシ	レキシ	漢	147	男	70-74歳	1925-29年	おの会例のでま今のあだたもうどてしまき行らか容内しすまい思とるな
A05M0058	5190	2910	独話・学会	非コア・人手修正	えあの×でございます#う今日はあの日本音声学会にあのお招きいただきまして#ありがとうございます#今日は何かあのおしゃべ喋る言葉の分析ですかは何かのモルモットにされてまして#え私いが喋るのがちゃんと分析でけりゅできれば大変なうもんだとうめちゃくちゃ喋りますんで私もあのん自宅あるいは関西け私元々関西系でございまして#関西の人と喋ってると関西弁なっちゃうんですが#今日はどっちかって言うと東の方の言葉でえ喋らしてもらいます#あの先程あのほ御紹介いただきましたけれども#私あの建築の出身でありまして#本当は建築家になりたかったんですが#成り損なって今音の研究やってるんですが#えまその辺のバックグラウンドで今日のあのタイトルはあ×××××××ということにしておりますけれども#ちょっと自己紹介と言いますか#自分の研究室の紹介を兼ねましてつあの五分ぐらいでえバックグラウンドの説明をさせていただきます#あの建築で何で音なんだってことよく言われるんですけれども#え建築と言いましてもあの建物だけじゃなくて周辺の都市環境も含んでえ扱っておりますが#え大きく内容分けますと#いわゆる建築意匠いわゆるデザインですね#アキテクトの世界いあのあそれそれプラス	歴史	の話も非常にあの重要なことでございます#そいから建物っていうのはやっぱりあのお壊れないように作らなきゃいけないけませんので構造の分野っていうのが一つ大きなあ分野としてございます#そいから材料ですね#それと同時にあの建物の中に今日もここれも建物ですが#この中に我々こういう風に集まって何かの目的をって言うか喋る#あるいは見るということをやってる訳ですけれども#そういうあの建物の中でのお環境お条件大きく分けますと#物理的な要素で分けますと#ここに書いてございますように#空気温熱水それから光ですね#それんと並んで音もお大事な要素になる訳でございます#でま最近では放射線だとか電磁波の問題もおおう大事になってまいりましたけれども#まそこでえこの中のお一つの要素であります音というので私い共の研究室ではやってる訳です#から後はまあの機械設備類いも非常に建築としては大事でございます#ですからこういう非常に複合的なぶ領域でえ普通建築って言うといわゆる建築デザインいわゆる建築家だけが頭に浮かぶ訳ですけれども#実際あのいい建物をつかっう作っていく為にはこう色んな分野がえ融合してって言うか協力して	レキシ	歴史		レキシ	名詞-普通名詞-一般			歴史	レキシ	レキシ	漢	1	男	55-59歳	1940-44年	スラプれそれそあのあい界世のトクテキアねすでンイザデるゆわい匠意築建るゆわいとすまけ分容内
A05M0058	61770	36640	独話・学会	非コア・人手修正	楽器で音を出すと勿論それが出発点でございますが#まそれだけじゃなくて後はホルの響きでえ音楽があ出来上がるとま言わばホルっていうのは音楽の仕上げをしているとま言ってもおいいんではないかとまちょっと我々えが言うとおおこがましい感じもするんですけれども#えであるからあホルの音響っていうのは非常に大事にしなきゃいかんと#えんそんでうまく設計しなきゃいかんということにもなる訳ですね#でこの部屋にもかなりのえあの残響がございますけれども#えそういう響き具合をおいかにい適切なものにするかというようなことがあこの建築音響でのおうっん研究の対象と言いますか#非常に大事なあポイントになる訳です#でこれ下手な絵なんですが#あのこういう風にいこれま屋外でもないですが#こういうところでえええ屋外のようなところで音を聞きますと#直接来る音しか聞こえない訳ですが#えこういうほえあの部屋の中でえですと#おま壁床天井の反射音それからそれが何回も反射した残響音これが同時に聞こえてくる訳でまそれを込みにして我々は音を聞いてる訳であります#でえうこれから暫くうえっとおホルのおちょっと	歴史	についてちょっとお話をいたしますが#これはイギリスのホプバゼナルと読むんだと思いますが#あこの人が言った言葉でえ野原の音がえ古代ギリシャロマあの劇場になりそれがオペラ劇場になっていったという一つの流れそいから洞窟の音があコンサトホルになったとまこれあの本当の意味よく分からないんで私もよよ分からないんですが#分かったような気がするのはこれからお話順々とお話ししますけれども#えコンサトホルとオペラ劇場というのは大体え日本ではあの多目的ホルが多くて何でもかんでも一緒にやってしまうホルが多いんですけれども#あ御存じのようにヨロッパなんか行きますと#教会がありえオペラ劇場があり#えそいからコンサトホルがありっていうことで別々なんですね#言ってみれば例えがあんまり良くないかもしれないけど#うデパトの食堂だとラメンもありお寿司もありウナギもありっていう感じですけれども#え何か専門店が並んでウナギ屋さんならウナギ屋さんうラメン屋さんならラメン屋さんとそういう風に分かれてるとまその辺がまこれはえいい#悪いの問題ではなくてれあの文化のすん何て言うんですかね#歴史の違いですからあしょうがないんですけれど#でこの辺をちょっと	レキシ	歴史		レキシ	名詞-普通名詞-一般			歴史	レキシ	レキシ	漢	1	男	55-59歳	1940-44年	とっょちおのルホおとっえうく暫らかれこうえですまりあで訳るてい聞を
A05M0058	66710	39480	独話・学会	非コア・人手修正	であります#でえうこれから暫くうえっとおホルのおちょっと歴史についてちょっとお話をいたしますが#これはイギリスのホプバゼナルと読むんだと思いますが#あこの人が言った言葉でえ野原の音がえ古代ギリシャロマあの劇場になりそれがオペラ劇場になっていったという一つの流れそいから洞窟の音があコンサトホルになったとまこれあの本当の意味よく分からないんで私もよよ分からないんですが#分かったような気がするのはこれからお話順々とお話ししますけれども#えコンサトホルとオペラ劇場というのは大体え日本ではあの多目的ホルが多くて何でもかんでも一緒にやってしまうホルが多いんですけれども#あ御存じのようにヨロッパなんか行きますと#教会がありえオペラ劇場があり#えそいからコンサトホルがありっていうことで別々なんですね#言ってみれば例えがあんまり良くないかもしれないけど#うデパトの食堂だとラメンもありお寿司もありウナギもありっていう感じですけれども#え何か専門店が並んでウナギ屋さんならウナギ屋さんうラメン屋さんならラメン屋さんとそういう風に分かれてるとまその辺がまこれはえいい#悪いの問題ではなくてれあの文化のすん何て言うんですかね#	歴史	の違いですからあしょうがないんですけれど#でこの辺をちょっとあ私なりに解釈したというはお話をこれからいたします#でこれはあのギリシャあ古代ギリシャの野外劇場の平面図ですが#えこの客席これ皆さんが座っていらっしゃるところがいわゆるオディトリアムというゆばれ呼ばれてるところでそのんあの真ん中の谷底みたいなところに平土間がございます#とこの場所の名前としてここがオケストラと呼ばれてた訳ですね#で実はこれここにあの色んな伴奏をする楽器を演奏する方があこう並んでる訳ですが#これがまあの今言うオケストラにゆこうなっていく訳であります#からま後てあの小さなステジがあるというようなことになりますすそれからま色んな形態がありますけれども#こういう半円形のこれはあのフランスオランジュのええ古代ロマ劇場ですねいこれ今でもお毎年夏ですかね#私行ったここは行ったことないんですが#あ見たことないんですけども#あのオペラうここでオペラの演奏あのおおおがやられてるということであります#六千人ぐらい入るんだそうです#でえあの私お音楽の歴史なんつうと喋るのちょっとおこがましいんですけれども#う関連してまよく知られてると話としてえ千六百年ぐらい前後からまイタリアあのおをお中心	レキシ	歴史		レキシ	名詞-普通名詞-一般			歴史	レキシ	レキシ	漢	1	男	55-59歳	1940-44年	ねかすでんう言て何んすの化文のあれてくなはで題問のい悪
A05M0058	71310	42080	独話・学会	非コア・人手修正	ラメン屋さんとそういう風に分かれてるとまその辺がまこれはえいい#悪いの問題ではなくてれあの文化のすん何て言うんですかね#歴史の違いですからあしょうがないんですけれど#でこの辺をちょっとあ私なりに解釈したというはお話をこれからいたします#でこれはあのギリシャあ古代ギリシャの野外劇場の平面図ですが#えこの客席これ皆さんが座っていらっしゃるところがいわゆるオディトリアムというゆばれ呼ばれてるところでそのんあの真ん中の谷底みたいなところに平土間がございます#とこの場所の名前としてここがオケストラと呼ばれてた訳ですね#で実はこれここにあの色んな伴奏をする楽器を演奏する方があこう並んでる訳ですが#これがまあの今言うオケストラにゆこうなっていく訳であります#からま後てあの小さなステジがあるというようなことになりますすそれからま色んな形態がありますけれども#こういう半円形のこれはあのフランスオランジュのええ古代ロマ劇場ですねいこれ今でもお毎年夏ですかね#私行ったここは行ったことないんですが#あ見たことないんですけども#あのオペラうここでオペラの演奏あのおおおがやられてるということであります#六千人ぐらい入るんだそうです#でえあの私お音楽の	歴史	なんつうと喋るのちょっとおこがましいんですけれども#う関連してまよく知られてると話としてえ千六百年ぐらい前後からまイタリアあのおをお中心としてえオペラのおい一種の文化運動が始まるん訳ですね#でこれは元々のお発端はあの貴族の結婚式なんかで余興としてえ古代ギリシャ劇い楽劇ですねか楽劇をお真似てみようとどんなんだったんだろうかとあかなり研究的な意味もある訳ですが#それで始まった訳でえちょっと細かいいメモはしてあるんですが#あのまあまりいえ細かい話してもしょうがないですが#あフラあのおフィレンツェだとかベネチアとかそいからあの辺でそういう一種のよきゅま余興と言うときゅ聞こえが悪いんですが#そういう文化活動として古代ギリシャ劇をお復活させようというような形でオペラというのがあ生まれてきた訳ですね#それがまあの十八世紀に入りますと#ドイツにも波及してまドイツのオペラもそいからヨロッパ全体行きますけど#フランスはちょっとあのあすこは独自な音楽文化の流れなんですが#えヘンデルなんかイギリスへ渡ってもお英語で書かないでイタリア語でぶ全部オペラ書いてたとん当時はあの今日は皆さん御御専門の方がい多いともっおっ思う	レキシ	歴史		レキシ	名詞-普通名詞-一般			歴史	レキシ	レキシ	漢	1	男	55-59歳	1940-44年	の楽音お私のあえですでうそだんる入いらぐ人千六すまりあでとこうい
A05M0058	82310	48630	独話・学会	非コア・人手修正	ても言葉が分からないからえこれからの話に関係あるんですが#言葉が明瞭に聞こえる必要なんかあるのかなと明瞭に聞こえても分からないんじゃないかと思うんですけれど#まそういう流れがあってあの今のお図面を見ていただいたようにあの馬蹄形のこういうオペラ劇場があ作られていく訳今度は屋内に作られていく訳ですね#でこういう馬蹄形の座席配置で#んでまあのこれはイタリアだけじゃなくてええすヨロッパ各地にできていく訳ですがばこれ有名なのは写真が奇麗なので持ってきましたが#これはよ建物としてはえ千七百七十八年ですから比較的最最近と言っても古いですが#あのミラノスカラ座ですね#まこういうあのえ丸い形でえ舞台を取り囲んだようなこういうう形になっております#ところが日本でも最近あの初台東京の初台に国立う新国立劇場ができましたけれども#これちょっと写真悪いんですが#もっと奇麗なんですけれども#これは馬蹄形とは言えませんが#現代的な形でやはりまこんなあの今のオペラ劇場をこれはうあの使用目的はあオペラなんですが#えこういうホルが日本にも出来上がって本格的なオプレオペラの幕開けと言いたいとこですが#日本ではなかなかそういう	歴史	がないですからこれからどう育っていくか非常にあのお楽しみでもあり心配んでもあるところです#からやはりこれも新国立劇場なんできましたあの中劇場です#これなんかも完全にプランはあの半円形ですね#だから昔のロギリシャロマのああいう座席配置と全く同じな訳であります#ただこれは音響的には非常に難しい形で私共これこういうのやらやる時はいもう一番頭が痛い形です#音響的には非常に難しい#で片やあのえじバロックう時代っていうのは一つにはあの楽器が非常に発達してきたこともありまして#えあれは十八世紀ですか#十七世紀から八世紀にかけて非常に楽器の改良がされます#えあのい弦楽器でもあの例の有名なクレモナイタリアのクレモナあ地方って言うんですかね#あすこで生まれたアマティだとかえストラディバリウスとかいううあのああいううバイオリン属が非常に発達してきます#でパワもおあ音色も勿論ですが#パワも大きくなってえその元々おおお声楽のお伴奏ぐらいだったあそういううう器楽ぬが独立して一つのグルプとしてえ演奏かをするスタイルが生まれてくる訳です#で元々オペラの伴奏役であったあそういううオケストラあすあのお舞台の下	レキシ	歴史		レキシ	名詞-普通名詞-一般			歴史	レキシ	レキシ	漢	1	男	55-59歳	1940-44年	ういうそかなかなはで本日がすでこといたい言とけ開幕のラペオレプオな的格本て
A05M0058	124580	73180	独話・学会	非コア・人手修正	こう並べまして#え確かにばんと反射音が来るんですね#私もここでう測定もしましたけど#こないだもここでコンサト聞いてきたんですが#ちょっとくちゅあの首を傾げるような音であまりにも反射音が強過ぎて何か落ち着かないんですね#ただこういう風な形を作ってまそういう努力をしてるということでございます#ただ建築の場合には音響的にこう必要だと言ってもアキテクトがデザイン的に意匠的にそれを許さない#あるいは我々が音響的にはこういうものが欲しいと言ったらアキテクトがそれをうまくデザインしなきゃいけないということがございます#だから幾ら機能的に必要だと言ってもなかなか建築家っていうのはあの視覚人間ですからえ目に見えるものっていうのは非常にし大事にしますからそれにうまくこう何て言うのかなあの持っていかせないとなかなか音響的にいいと言ってもやってくれないばケスが多いんですね#いいとこだけ取られることもありますけれどすさてううす今まで外国でしたけど#日本のホルでも日本は先程言いましたように#戦後え随分たくさんホルが全国各地に作られましたけども#殆どはあの多目的ホルでえ公演お芝居い音楽会えめ全てやらなきゃいけない#でこれはまるあの	歴史	的にとゆ言いますか#しょうがなかったことですね#ところがここおもうお二十年ぐらい前からやはりい専門店街と言いますか#コンサトホルならコンサトホルという建物作ろうといううく動きがあ非常にくま経済もそれだけ良くなってきたあここともあとあるんでしょう#随分コンサトホルが作られました#あるいはあオペラ劇場も最近まあの先程の例お見せしたように幾つか作られるようになってまいりました#その走りですが#これは大阪のおザシンフォニホルとザシンフォニホルっつったらシンフォニホルがこれしかないっていうのぐらいのす強い意味だと思うんですけれども#これはあの普通ぐホルって言うとうあのこうむ額縁があってというのがいわゆるプロセニアム形式が一般的ですけれども#あのコンサトホルとしてはそんなものい全く必要ない訳ですね#劇場であれば必要ですけれども#コンサトホルってのは素っ裸でいい訳です#でこういうパイプオルガンもい置かれたこういうホルが初めてこれは千九百八十二年に出来上がった訳です#で幸い私共もこれの音響のお手伝いする機会を得まして#大変いい勉強になりました#でこれは幸い今でも非常に評判が良くてえ聞く立場でもあるいは演奏家の方にも色々話伺ってここは凄くやり易いというようなお	レキシ	歴史		レキシ	名詞-普通名詞-一般			歴史	レキシ	レキシ	漢	1	男	55-59歳	1940-44年	のあるまはれこでいなけいゃきならやて全めえ会楽音い居芝お演公え
